show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s42,TV Show,Midnight Echo 41,,"Actor A, Actor B, Actor C",South Korea,"November 8, 2018",1998,TV-G,4 Seasons,"Action & Adventure, Horror Movies",An ambitious journey across continents tests the limits of loyalty.
s43,TV Show,Midnight Horizon 42,Kenji,Cast info not available,Japan,"December 24, 2018",1998,TV-14,6 Seasons,Anime Series,A gripping tale that follows an unlikely hero through unexpected challenges.
s44,Movie,Forgotten Journey 43,Wei Garcia,"Actor A, Actor B, Actor C",,"March 20, 2016",2003,TV-PG,158 min,Romantic Movies,A mystery unfolds in a small town when a stranger arrives.
s45,TV Show,Silent Empire 44,Carlos Chen,"Actor A, Actor B, Actor C",Australia,"April 21, 2018",2012,PG-13,5 Seasons,"Crime TV Shows, Dramas",An ambitious journey across continents tests the limits of loyalty.
s46,TV Show,Broken Paradise 45,Carlos Rossi,"Actor A, Actor B, Actor C",Japan,"July 26, 2017",2019,R,2 Seasons,"Stand-Up Comedy, Romantic Movies",A mystery unfolds in a small town when a stranger arrives.
s47,Movie,Lost Horizon 46,Fatima Sharma,"Actor A, Actor B, Actor C",United States,"July 7, 2021",2016,TV-14,172 min,Stand-Up Comedy,A dark secret from the past threatens to destroy everything.
s48,Movie,Bright Garden 47,Liam Johnson,"Actor A, Actor B, Actor C",United States,"December 3, 2019",2013,PG,114 min,"International Movies, Horror Movies",An ambitious journey across continents tests the limits of loyalty.
s49,Movie,Broken Signal 48,Emma Johnson,"Actor A, Actor B, Actor C",India,"May 16, 2016",2016,TV-MA,80 min,Romantic Movies,A mystery unfolds in a small town when a stranger arrives.
s50,Movie,Secret Horizon 49,Raj Chen,"Actor A, Actor B, Actor C",Spain,"January 9, 2016",2002,,163 min,"Sci-Fi & Fantasy, Dramas",A gripping tale that follows an unlikely hero through unexpected challenges.
s51,Movie,Dark Legacy 50,Fatima Khan,"Actor A, Actor B, Actor C",  Canada ,"June 12, 2021",2018,TV-MA,167 min,"Anime Series, Romantic Movies",Friends and family come together to face a life-changing event.
s52,Movie,Wild Paradise 51,Kenji Johnson,"Actor A, Actor B, Actor C",United Kingdom,"July 7, 2021",2019,R,125 min,Kids' TV,A mystery unfolds in a small town when a stranger arrives.
s53,TV Show,Final Signal 52,Emma Chen,"Actor A, Actor B, Actor C",  Australia ,"July 11, 2020",2000,,5 Seasons,Horror Movies,A mystery unfolds in a small town when a stranger arrives.
s54,Movie,Broken Journey 53,Wei Rossi,Cast info not available,Germany,,2009,TV-14,77 min,"Horror Movies, Crime TV Shows",A dark secret from the past threatens to destroy everything.
s55,TV Show,Midnight Echo 54,Emma,"Actor A, Actor B, Actor C",South Korea,"December 10, 2016",2017,TV-MA,8 Seasons,"Sci-Fi & Fantasy, Comedies",A comedic look at everyday life gone hilariously wrong.
s56,TV Show,Secret Kingdom 55,Carlos Sharma,"Actor A, Actor B, Actor C",Brazil,"October 21, 2017",2009,TV-Y,3 Seasons,International Movies,A gripping tale that follows an unlikely hero through unexpected challenges.
s57,Movie,Dark Echo 56,Liam Smith,"Actor A, Actor B, Actor C",Australia,"April 17, 2020",2018,TV-MA,72 min,Stand-Up Comedy,An ambitious journey across continents tests the limits of loyalty.
s58,Movie,Forgotten Kingdom 57,Carlos Sharma,"Actor A, Actor B, Actor C",Australia,"May 13, 2020",2020,,78 min,"Stand-Up Comedy, Sci-Fi & Fantasy",A mystery unfolds in a small town when a stranger arrives.
s59,Movie,Wild Empire 58,Carlos Khan,"Actor A, Actor B, Actor C",Brazil,"September 4, 2021",2009,PG-13,96 min,Stand-Up Comedy,A gripping tale that follows an unlikely hero through unexpected challenges.
s60,Movie,Lost Legacy 59,,Cast info not available,  United Kingdom ,"May 16, 2016",1999,TV-G,119 min,Documentaries,An ambitious journey across continents tests the limits of loyalty.
s61,Movie,Silent Journey 60,Emma Tanaka,"Actor A, Actor B, Actor C",Germany,"June 5, 2016",2006,TV-PG,110 min,Kids' TV,An ambitious journey across continents tests the limits of loyalty.
s62,Movie,Secret Paradise 61,Emma Garcia,Cast info not available,,"March 9, 2021",2003,TV-14,90 min,"Action & Adventure, International Movies",A gripping tale that follows an unlikely hero through unexpected challenges.
s63,Movie,Forgotten Shadows,,"Actor A, Actor B, Actor C",,"April 12, 2021",2009,,108 min,"Romantic Movies, Stand-Up Comedy",A mystery unfolds in a small town when a stranger arrives.
s64,TV Show,Wild City 63,Fatima Tanaka,"Actor A, Actor B, Actor C",Japan,"September 4, 2020",2012,TV-Y,3 Seasons,"Crime TV Shows, Horror Movies",A comedic look at everyday life gone hilariously wrong.
s65,Movie,Wild Kingdom 64,Raj Tanaka,"Actor A, Actor B, Actor C",Germany,"November 11, 2016",2009,,131 min,Action & Adventure,Friends and family come together to face a life-changing event.
s66,Movie,Lost Harbor 65,Wei Garcia,"Actor A, Actor B, Actor C",Brazil,"October 8, 2016",2002,TV-PG,167 min,Action & Adventure,A mystery unfolds in a small town when a stranger arrives.
s67,Movie,Midnight Echo 66,Liam Sharma,"Actor A, Actor B, Actor C",Brazil,"April 23, 2016",2005,R,158 min,"Dramas, Crime TV Shows",A gripping tale that follows an unlikely hero through unexpected challenges.
s68,Movie,Secret Frontier 67,Carlos Khan,"Actor A, Actor B, Actor C",Brazil,"February 24, 2020",2014,PG,102 min,"Kids' TV, Dramas",Friends and family come together to face a life-changing event.
s69,Movie,Final Kingdom 68,Fatima Smith,"Actor A, Actor B, Actor C",Germany,"February 1, 2021",1998,PG-13,169 min,Sci-Fi & Fantasy,A dark secret from the past threatens to destroy everything.
s70,Movie,Dark Legacy 69,Liam Chen,"Actor A, Actor B, Actor C",France,,2003,TV-PG,127 min,"Sci-Fi & Fantasy, Action & Adventure",An ambitious journey across continents tests the limits of loyalty.
s71,Movie,Secret City 70,Carlos,Cast info not available,Australia,,2019,R,90 min,International Movies,Friends and family come together to face a life-changing event.
s72,Movie,Silent Empire 71,Kenji Tanaka,Cast info not available,France,"November 11, 2020",2000,PG,107 min,"Action & Adventure, Anime Series",A mystery unfolds in a small town when a stranger arrives.
s73,TV Show,Golden Frontier 72,Fatima Tanaka,"Actor A, Actor B, Actor C",Germany,"November 13, 2016",2007,TV-MA,6 Seasons,"Comedies, Documentaries",Friends and family come together to face a life-changing event.
s74,Movie,Endless Signal 73,,"Actor A, Actor B, Actor C",Germany,"January 22, 2020",2002,R,111 min,"Romantic Movies, Sci-Fi & Fantasy",A mystery unfolds in a small town when a stranger arrives.
s75,Movie,Dark Empire 74,Raj Tanaka,"Actor A, Actor B, Actor C",,"September 11, 2021",2000,TV-PG,87 min,"Documentaries, Kids' TV",A gripping tale that follows an unlikely hero through unexpected challenges.
s76,Movie,Last Legacy 75,Carlos Rossi,Cast info not available,Spain,"April 2, 2020",2008,TV-MA,91 min,"Dramas, Action & Adventure",An ambitious journey across continents tests the limits of loyalty.
s77,Movie,Lost Paradise 76,Sofia Chen,"Actor A, Actor B, Actor C",South Korea,,2010,TV-14,81 min,"Sci-Fi & Fantasy, Kids' TV",An ambitious journey across continents tests the limits of loyalty.
s78,Movie,Broken Storm 77,,"Actor A, Actor B, Actor C",India,"July 7, 2019",2002,PG-13,146 min,"Sci-Fi & Fantasy, Crime TV Shows",An ambitious journey across continents tests the limits of loyalty.
s79,Movie,Hidden City 78,Emma Tanaka,"Actor A, Actor B, Actor C",Spain,"January 11, 2018",1999,TV-MA,125 min,"Kids' TV, Sci-Fi & Fantasy",A mystery unfolds in a small town when a stranger arrives.
s80,TV Show,Silent Legacy 79,,"Actor A, Actor B, Actor C",Japan,"May 7, 2017",2001,R,4 Seasons,"Sci-Fi & Fantasy, Action & Adventure",Friends and family come together to face a life-changing event.
s81,Movie,Silent Horizon 80,Emma Khan,"Actor A, Actor B, Actor C",Japan,,2013,PG,161 min,"Horror Movies, Kids' TV",Friends and family come together to face a life-changing event.
s82,Movie,Hidden Shadows 81,Wei Sharma,Cast info not available,Australia,"April 27, 2020",2018,TV-G,157 min,"Action & Adventure, Dramas",Friends and family come together to face a life-changing event.
s83,TV Show,Secret Horizon 82,Carlos Smith,"Actor A, Actor B, Actor C",Brazil,"August 4, 2017",2002,TV-MA,2 Seasons,"Romantic Movies, Sci-Fi & Fantasy",A mystery unfolds in a small town when a stranger arrives.
s84,Movie,Hidden Storm 83,Wei Rossi,"Actor A, Actor B, Actor C",India,"June 20, 2021",2005,R,167 min,"Comedies, Dramas",A mystery unfolds in a small town when a stranger arrives.
s85,Movie,Bright Empire 84,,"Actor A, Actor B, Actor C",South Korea,"October 20, 2016",2006,TV-MA,155 min,Sci-Fi & Fantasy,A comedic look at everyday life gone hilariously wrong.
s86,Movie,Forgotten Kingdom 85,Sofia Tanaka,"Actor A, Actor B, Actor C",Australia,"March 17, 2019",2006,R,106 min,Kids' TV,A gripping tale that follows an unlikely hero through unexpected challenges.
s87,TV Show,Lost Legacy 86,Kenji Johnson,"Actor A, Actor B, Actor C",  Germany ,"January 25, 2017",2003,PG-13,4 Seasons,Action & Adventure,Friends and family come together to face a life-changing event.
s88,Movie,Forgotten Frontier 87,Carlos,"Actor A, Actor B, Actor C",Germany,"July 1, 2019",1999,TV-G,73 min,Action & Adventure,A dark secret from the past threatens to destroy everything.
s89,Movie,Bright Harbor 88,,"Actor A, Actor B, Actor C",Germany,"April 9, 2018",2010,R,127 min,"Romantic Movies, Kids' TV",A dark secret from the past threatens to destroy everything.
s90,Movie,Secret Garden 89,Wei Garcia,"Actor A, Actor B, Actor C",Brazil,"September 5, 2018",2006,,82 min,"International Movies, Horror Movies",A dark secret from the past threatens to destroy everything.
s91,Movie,Bright Journey,Liam Sharma,Cast info not available,,"February 16, 2020",2006,TV-14,168 min,"Crime TV Shows, Comedies",Friends and family come together to face a life-changing event.
s92,Movie,Hidden Paradise 91,Sofia Sharma,"Actor A, Actor B, Actor C",Spain,"July 18, 2020",2004,TV-MA,74 min,Kids' TV,A gripping tale that follows an unlikely hero through unexpected challenges.
s93,Movie,Midnight Journey 92,Liam Rossi,"Actor A, Actor B, Actor C",United Kingdom,"December 25, 2018",2020,TV-MA,72 min,"Kids' TV, Action & Adventure",Friends and family come together to face a life-changing event.
s94,Movie,Secret Kingdom 93,Liam Chen,Cast info not available,Japan,"February 11, 2021",2012,R,106 min,Action & Adventure,A gripping tale that follows an unlikely hero through unexpected challenges.
s95,Movie,Forgotten Paradise 94,Fatima Tanaka,Cast info not available,Australia,"April 7, 2018",2008,TV-14,92 min,"Sci-Fi & Fantasy, Comedies",A dark secret from the past threatens to destroy everything.
s96,Movie,Hidden Garden 95,Liam Garcia,Cast info not available,India,"November 25, 2016",2002,TV-MA,124 min,"Kids' TV, Comedies",A dark secret from the past threatens to destroy everything.
s97,Movie,Bright Harbor 96,,Cast info not available,  Germany ,"July 19, 2016",2017,TV-PG,102 min,Action & Adventure,A comedic look at everyday life gone hilariously wrong.
s98,Movie,Broken Empire 97,Wei,"Actor A, Actor B, Actor C",Japan,"March 21, 2017",2019,,109 min,Action & Adventure,A comedic look at everyday life gone hilariously wrong.
s99,Movie,Final Signal 98,Fatima Sharma,"Actor A, Actor B, Actor C",,"March 13, 2020",1998,TV-G,132 min,Romantic Movies,A mystery unfolds in a small town when a stranger arrives.
s100,TV Show,Last Kingdom 99,Emma Smith,Cast info not available,United Kingdom,"October 13, 2019",2020,TV-MA,5 Seasons,Documentaries,A mystery unfolds in a small town when a stranger arrives.
s101,TV Show,Endless Journey 100,Wei,"Actor A, Actor B, Actor C",Brazil,"November 11, 2018",2014,,4 Seasons,International Movies,A dark secret from the past threatens to destroy everything.
s102,Movie,Hidden Kingdom 101,Sofia Garcia,"Actor A, Actor B, Actor C",South Korea,"May 21, 2018",2000,TV-14,144 min,Stand-Up Comedy,A comedic look at everyday life gone hilariously wrong.
s103,Movie,Golden Shadows 102,Liam Sharma,"Actor A, Actor B, Actor C",Japan,"June 6, 2021",2016,R,89 min,"Crime TV Shows, Sci-Fi & Fantasy",An ambitious journey across continents tests the limits of loyalty.
s104,TV Show,Hidden Paradise 103,Emma Tanaka,"Actor A, Actor B, Actor C",Spain,,2000,TV-PG,6 Seasons,"Comedies, Documentaries",A dark secret from the past threatens to destroy everything.
s105,TV Show,Last Journey 104,Fatima Khan,"Actor A, Actor B, Actor C",  Japan ,"March 5, 2016",1999,R,3 Seasons,Comedies,A mystery unfolds in a small town when a stranger arrives.
s106,TV Show,Last Garden 105,Kenji Sharma,"Actor A, Actor B, Actor C",Brazil,"March 13, 2016",2000,TV-Y,3 Seasons,Anime Series,A mystery unfolds in a small town when a stranger arrives.
s107,Movie,Broken Echo 106,Emma Tanaka,"Actor A, Actor B, Actor C",United Kingdom,"October 9, 2018",2009,TV-Y,134 min,"Anime Series, Kids' TV",A dark secret from the past threatens to destroy everything.
s108,Movie,Final Harbor 107,Raj Rossi,"Actor A, Actor B, Actor C",Australia,,2012,PG,165 min,Stand-Up Comedy,A mystery unfolds in a small town when a stranger arrives.
s109,Movie,Final Storm 108,Wei Sharma,"Actor A, Actor B, Actor C",,"October 19, 2021",2007,PG,135 min,"Documentaries, Kids' TV",A comedic look at everyday life gone hilariously wrong.
s110,TV Show,Forgotten Storm 109,Liam Garcia,"Actor A, Actor B, Actor C",United Kingdom,"June 25, 2019",2000,TV-Y,2 Seasons,Comedies,A mystery unfolds in a small town when a stranger arrives.
s111,Movie,Bright Frontier 110,Carlos Sharma,"Actor A, Actor B, Actor C",Canada,"December 22, 2020",2002,TV-14,145 min,"Crime TV Shows, Romantic Movies",Friends and family come together to face a life-changing event.
s112,Movie,Final Signal 111,Kenji,"Actor A, Actor B, Actor C",South Korea,"January 7, 2019",2018,R,106 min,Action & Adventure,Friends and family come together to face a life-changing event.
s113,Movie,Broken Echo 112,Kenji Sharma,"Actor A, Actor B, Actor C",Australia,"December 6, 2018",2021,TV-MA,134 min,Anime Series,An ambitious journey across continents tests the limits of loyalty.
s114,Movie,Wild Paradise 113,Fatima Tanaka,"Actor A, Actor B, Actor C",,"March 24, 2019",2016,TV-Y,146 min,"International Movies, Action & Adventure",A mystery unfolds in a small town when a stranger arrives.
s115,Movie,Broken Echo 114,Wei Khan,"Actor A, Actor B, Actor C",Germany,"January 14, 2019",2000,R,106 min,Action & Adventure,A mystery unfolds in a small town when a stranger arrives.
s116,TV Show,Lost Shadows 115,Raj Smith,"Actor A, Actor B, Actor C",Germany,"September 3, 2020",2017,PG,6 Seasons,"Dramas, Stand-Up Comedy",A comedic look at everyday life gone hilariously wrong.
s117,TV Show,Golden Garden 116,Kenji Tanaka,"Actor A, Actor B, Actor C",South Korea,"July 23, 2017",2014,PG,2 Seasons,"Documentaries, Comedies",A gripping tale that follows an unlikely hero through unexpected challenges.
s118,TV Show,Hidden City 117,,"Actor A, Actor B, Actor C",Spain,"November 18, 2019",2010,TV-PG,4 Season,"Crime TV Shows, Sci-Fi & Fantasy",A gripping tale that follows an unlikely hero through unexpected challenges.
s119,Movie,Midnight Signal 118,Wei Johnson,"Actor A, Actor B, Actor C",United Kingdom,"February 1, 2017",2001,TV-14,168 min,International Movies,A dark secret from the past threatens to destroy everything.
s120,Movie,Hidden Frontier 119,Fatima Sharma,"Actor A, Actor B, Actor C",South Korea,"January 22, 2020",2021,,128 min,Anime Series,An ambitious journey across continents tests the limits of loyalty.
s121,Movie,Dark Garden 120,Sofia Johnson,"Actor A, Actor B, Actor C",United Kingdom,"July 17, 2020",2008,TV-PG,73 min,Sci-Fi & Fantasy,An ambitious journey across continents tests the limits of loyalty.
s122,Movie,Bright Storm 121,Sofia Rossi,"Actor A, Actor B, Actor C",United States,"November 17, 2019",1999,TV-MA,165 min,"Kids' TV, Dramas",A gripping tale that follows an unlikely hero through unexpected challenges.
s123,Movie,Silent Horizon 122,Emma Smith,Cast info not available,Brazil,"May 24, 2021",2003,TV-PG,164 min,Horror Movies,An ambitious journey across continents tests the limits of loyalty.
s124,Movie,Bright Frontier 123,Sofia Sharma,"Actor A, Actor B, Actor C",Germany,"October 14, 2019",2007,,71 min,"Sci-Fi & Fantasy, Dramas",A mystery unfolds in a small town when a stranger arrives.
s125,Movie,Dark City 124,,Cast info not available,Japan,"November 13, 2016",1999,TV-PG,87 min,Sci-Fi & Fantasy,An ambitious journey across continents tests the limits of loyalty.
s126,Movie,Hidden Horizon 125,Sofia Khan,"Actor A, Actor B, Actor C",United States,"November 17, 2019",2005,,110 min,"Romantic Movies, Documentaries",A gripping tale that follows an unlikely hero through unexpected challenges.
s127,Movie,Last Journey 126,Fatima Rossi,"Actor A, Actor B, Actor C",  India ,"July 6, 2020",2009,PG-13,125 min,"Action & Adventure, Documentaries",An ambitious journey across continents tests the limits of loyalty.
s128,Movie,Final Horizon 127,Fatima Chen,"Actor A, Actor B, Actor C",India,"September 5, 2016",2020,TV-G,149 min,"Romantic Movies, Horror Movies",An ambitious journey across continents tests the limits of loyalty.
s129,Movie,Bright Storm 128,Carlos,"Actor A, Actor B, Actor C",Australia,"July 23, 2016",2000,PG,116 min,"Kids' TV, International Movies",Friends and family come together to face a life-changing event.
s130,Movie,Broken Garden 129,Liam,"Actor A, Actor B, Actor C",United Kingdom,"September 6, 2017",2011,TV-MA,137 min,"International Movies, Stand-Up Comedy",A gripping tale that follows an unlikely hero through unexpected challenges.
s131,Movie,Endless Kingdom 130,Carlos Rossi,"Actor A, Actor B, Actor C",Canada,"July 14, 2021",2019,PG-13,71 min,"Sci-Fi & Fantasy, Documentaries",A dark secret from the past threatens to destroy everything.
s132,TV Show,Last Horizon,Wei Khan,"Actor A, Actor B, Actor C",Brazil,"July 8, 2019",2017,R,6 Seasons,Horror Movies,A comedic look at everyday life gone hilariously wrong.
s133,Movie,Endless City 132,Carlos Tanaka,"Actor A, Actor B, Actor C",Brazil,"June 7, 2021",2020,TV-14,127 min,"Action & Adventure, Kids' TV",An ambitious journey across continents tests the limits of loyalty.
s134,Movie,Final Legacy 133,Wei Rossi,"Actor A, Actor B, Actor C",Germany,"August 17, 2021",2002,PG-13,120 min,Anime Series,A comedic look at everyday life gone hilariously wrong.
s135,Movie,Dark Horizon 134,Wei Khan,"Actor A, Actor B, Actor C",  Canada ,"October 22, 2019",2017,TV-MA,102 min,Sci-Fi & Fantasy,A comedic look at everyday life gone hilariously wrong.
s136,Movie,Forgotten Signal 135,Raj Chen,"Actor A, Actor B, Actor C",Japan,"December 12, 2020",2021,TV-Y,174 min,"Stand-Up Comedy, Comedies",A gripping tale that follows an unlikely hero through unexpected challenges.
s137,TV Show,Lost Shadows 136,Sofia Tanaka,"Actor A, Actor B, Actor C",United Kingdom,"August 4, 2017",2005,TV-G,1 Seasons,Kids' TV,A mystery unfolds in a small town when a stranger arrives.
s138,Movie,Bright Kingdom 137,Wei Smith,Cast info not available,Brazil,"February 7, 2016",2009,TV-MA,85 min,Crime TV Shows,A dark secret from the past threatens to destroy everything.
s139,TV Show,Lost Legacy 138,,"Actor A, Actor B, Actor C",India,"August 5, 2018",2010,PG-13,7 Seasons,"Romantic Movies, Dramas",Friends and family come together to face a life-changing event.
s140,Movie,Broken Legacy 139,Emma,"Actor A, Actor B, Actor C",Australia,"April 24, 2019",2009,PG,171 min,Comedies,A dark secret from the past threatens to destroy everything.
s141,Movie,Golden Horizon 140,Sofia Sharma,"Actor A, Actor B, Actor C",Japan,"January 9, 2017",2004,TV-MA,143 min,"Kids' TV, Crime TV Shows",A gripping tale that follows an unlikely hero through unexpected challenges.
s142,Movie,Hidden City 141,Emma Rossi,"Actor A, Actor B, Actor C",Germany,"January 11, 2017",2021,R,131 min,Documentaries,Friends and family come together to face a life-changing event.
s143,TV Show,Midnight Paradise 142,Fatima Smith,Cast info not available,South Korea,"August 2, 2016",2020,TV-PG,5 Seasons,"Crime TV Shows, Sci-Fi & Fantasy",A mystery unfolds in a small town when a stranger arrives.
